TestNumber,Principal,Operation,Resource,Granted,Milliseconds
1295,Principal 0022,Operation 0001,Resource 3109,Y,0.0022
1296,Principal 0146,Operation 0003,Resource 3102,N,0.0022
1297,Principal 0106,Operation 0001,Resource 13363,N,0.0003
1298,Principal 0116,Operation 0014,Resource 4540,N,0.0012
1299,Principal 0121,Operation 0009,Resource 7524,N,0.0028
1300,Principal 0108,Operation 0008,Resource 11539,N,0.0003
1301,Principal 0004,Operation 0003,Resource 14627,N,0.0006
1302,Principal 0034,Operation 0008,Resource 10102,N,0.0006
1303,Principal 0034,Operation 0005,Resource 12400,N,0.0006
1304,Principal 0014,Operation 0008,Resource 8099,Y,0.0019
1305,Principal 0015,Operation 0010,Resource 14488,N,0.0006
1306,Principal 0130,Operation 0005,Resource 12257,N,0.0006
1307,Principal 0024,Operation 0006,Resource 10141,N,0.0006
1308,Principal 0125,Operation 0001,Resource 8921,N,0.0025
1309,Principal 0034,Operation 0013,Resource 10714,N,0.0003
1310,Principal 0046,Operation 0001,Resource 3352,Y,0.0022
1311,Principal 0120,Operation 0001,Resource 9019,N,0.0032
1312,Principal 0046,Operation 0005,Resource 1538,Y,0.0022
1313,Principal 0099,Operation 0013,Resource 8269,N,0.0009
1314,Principal 0080,Operation 0011,Resource 13059,N,0.0003
1315,Principal 0057,Operation 0009,Resource 6579,Y,0.0022
1316,Principal 0053,Operation 0010,Resource 3986,N,0.0012
1317,Principal 0051,Operation 0014,Resource 4324,N,0.0009
1318,Principal 0102,Operation 0008,Resource 2016,N,0.0028
1319,Principal 0014,Operation 0003,Resource 2768,Y,0.0022
1320,Principal 0057,Operation 0014,Resource 8865,N,0.0009
1321,Principal 0143,Operation 0013,Resource 4332,N,0.0009
1322,Principal 0090,Operation 0005,Resource 7991,Y,0.0032
1323,Principal 0140,Operation 0012,Resource 5673,N,0.0012
1324,Principal 0129,Operation 0003,Resource 5501,N,0.0028
1325,Principal 0040,Operation 0009,Resource 9503,Y,0.0019
1326,Principal 0121,Operation 0007,Resource 6075,N,0.0025
1327,Principal 0024,Operation 0013,Resource 3664,N,0.0009
1328,Principal 0067,Operation 0014,Resource 1311,N,0.0012
1329,Principal 0140,Operation 0002,Resource 7107,N,0.0025
1330,Principal 0070,Operation 0003,Resource 2200,Y,0.0022
1331,Principal 0137,Operation 0004,Resource 13829,N,0.0006
1332,Principal 0144,Operation 0009,Resource 12430,N,0.0003
1333,Principal 0087,Operation 0011,Resource 4940,N,0.0012
1334,Principal 0135,Operation 0006,Resource 13262,N,0.0006
1335,Principal 0133,Operation 0007,Resource 10845,N,0.0003
1336,Principal 0138,Operation 0006,Resource 14066,N,0.0006
1337,Principal 0075,Operation 0005,Resource 10900,N,0.0003
1338,Principal 0117,Operation 0004,Resource 1885,N,0.0022
1339,Principal 0052,Operation 0008,Resource 14203,N,0.0003
1340,Principal 0031,Operation 0010,Resource 2536,N,0.0016
1341,Principal 0009,Operation 0007,Resource 8651,Y,0.0019
1342,Principal 0035,Operation 0014,Resource 14025,N,0.0006
1343,Principal 0067,Operation 0005,Resource 0747,Y,0.0025
1344,Principal 0120,Operation 0004,Resource 10198,N,0.0003
1345,Principal 0012,Operation 0004,Resource 6926,Y,0.0019
1346,Principal 0054,Operation 0008,Resource 7478,Y,0.0025
1347,Principal 0055,Operation 0001,Resource 10505,N,0.0006
1348,Principal 0080,Operation 0014,Resource 13894,N,0.0006
1349,Principal 0063,Operation 0002,Resource 0808,Y,0.0028
1350,Principal 0119,Operation 0009,Resource 0959,N,0.0019
1351,Principal 0132,Operation 0006,Resource 1633,N,0.0032
1352,Principal 0024,Operation 0012,Resource 14106,N,0.0006
1353,Principal 0046,Operation 0010,Resource 7920,N,0.0019
1354,Principal 0118,Operation 0007,Resource 1695,N,0.0025
1355,Principal 0133,Operation 0010,Resource 0962,N,0.0012
1356,Principal 0007,Operation 0010,Resource 14610,N,0.0003
1357,Principal 0099,Operation 0014,Resource 14245,N,0.0003
1358,Principal 0067,Operation 0012,Resource 9816,N,0.0009
1359,Principal 0070,Operation 0008,Resource 7586,Y,0.0025
1360,Principal 0097,Operation 0012,Resource 12102,N,0.0006
1361,Principal 0132,Operation 0010,Resource 10381,N,0.0006
1362,Principal 0147,Operation 0013,Resource 12648,N,0.0003
1363,Principal 0086,Operation 0013,Resource 6050,N,0.0009
1364,Principal 0078,Operation 0001,Resource 13575,N,0.0006
1365,Principal 0145,Operation 0009,Resource 8052,N,0.0028
1366,Principal 0088,Operation 0010,Resource 4052,N,0.0012
1367,Principal 0129,Operation 0006,Resource 6521,N,0.0025
1368,Principal 0012,Operation 0002,Resource 9404,Y,0.0025
1369,Principal 0018,Operation 0007,Resource 8150,Y,0.0019
1370,Principal 0068,Operation 0010,Resource 4861,N,0.0009
1371,Principal 0065,Operation 0010,Resource 12665,N,0.0006
1372,Principal 0108,Operation 0013,Resource 12425,N,0.0003
1373,Principal 0063,Operation 0013,Resource 11593,N,0.0003
1374,Principal 0033,Operation 0007,Resource 11824,N,0.0006
1375,Principal 0086,Operation 0002,Resource 14007,N,0.0006
1376,Principal 0007,Operation 0007,Resource 3910,Y,0.0019
1377,Principal 0018,Operation 0013,Resource 13122,N,0.0003
1378,Principal 0036,Operation 0012,Resource 6577,N,0.0009
1379,Principal 0056,Operation 0012,Resource 7741,N,0.0009
1380,Principal 0010,Operation 0013,Resource 7346,N,0.0009
1381,Principal 0045,Operation 0002,Resource 3359,Y,0.0019
1382,Principal 0012,Operation 0002,Resource 5937,Y,0.0028
1383,Principal 0010,Operation 0004,Resource 10044,N,0.0003
1384,Principal 0106,Operation 0003,Resource 11189,N,0.0003
1385,Principal 0075,Operation 0009,Resource 13460,N,0.0006
1386,Principal 0097,Operation 0008,Resource 14845,N,0.0006
1387,Principal 0104,Operation 0001,Resource 14332,N,0.0009
1388,Principal 0043,Operation 0005,Resource 12153,N,0.0003
1389,Principal 0067,Operation 0003,Resource 13031,N,0.0006
1390,Principal 0061,Operation 0005,Resource 1580,Y,0.0025
1391,Principal 0047,Operation 0005,Resource 0459,Y,0.0025
1392,Principal 0043,Operation 0013,Resource 5389,N,0.0012
1393,Principal 0085,Operation 0007,Resource 0840,Y,0.0025
1394,Principal 0081,Operation 0014,Resource 3428,N,0.0009
1395,Principal 0089,Operation 0006,Resource 10723,N,0.0006
1396,Principal 0020,Operation 0011,Resource 2202,N,0.0012
1397,Principal 0081,Operation 0011,Resource 4386,N,0.0012
1398,Principal 0079,Operation 0006,Resource 12029,N,0.0006
1399,Principal 0080,Operation 0001,Resource 11694,N,0.0006
1400,Principal 0062,Operation 0009,Resource 13313,N,0.0006
1401,Principal 0079,Operation 0010,Resource 13504,N,0.0003
1402,Principal 0085,Operation 0006,Resource 12159,N,0.0003
1403,Principal 0107,Operation 0003,Resource 10807,N,0.0006
1404,Principal 0081,Operation 0002,Resource 0264,Y,0.0025
1405,Principal 0140,Operation 0003,Resource 1285,N,0.0032
1406,Principal 0109,Operation 0010,Resource 13915,N,0.0012
1407,Principal 0015,Operation 0005,Resource 6911,Y,0.0022
1408,Principal 0108,Operation 0013,Resource 9351,N,0.0009
1409,Principal 0122,Operation 0012,Resource 14756,N,0.0006
1410,Principal 0035,Operation 0011,Resource 13556,N,0.0006
1411,Principal 0087,Operation 0003,Resource 12922,N,0.0006
1412,Principal 0026,Operation 0001,Resource 4938,Y,0.0019
1413,Principal 0049,Operation 0001,Resource 0197,Y,0.0019
1414,Principal 0135,Operation 0006,Resource 7864,N,0.0028
1415,Principal 0064,Operation 0001,Resource 9654,Y,0.0022
1416,Principal 0041,Operation 0009,Resource 3255,Y,0.0022
1417,Principal 0107,Operation 0012,Resource 4884,N,0.0012
1418,Principal 0127,Operation 0005,Resource 4644,N,0.0022
1419,Principal 0064,Operation 0012,Resource 11851,N,0.0003
1420,Principal 0042,Operation 0011,Resource 9153,N,0.0009
1421,Principal 0124,Operation 0007,Resource 6978,N,0.0035
1422,Principal 0122,Operation 0014,Resource 13971,N,0.0006
1423,Principal 0024,Operation 0011,Resource 2161,N,0.0012
1424,Principal 0113,Operation 0006,Resource 9972,N,0.0025
1425,Principal 0137,Operation 0003,Resource 13604,N,0.0003
1426,Principal 0140,Operation 0005,Resource 12924,N,0.0003
1427,Principal 0146,Operation 0008,Resource 2899,N,0.0028
1428,Principal 0115,Operation 0008,Resource 14124,N,0.0006
1429,Principal 0087,Operation 0011,Resource 12482,N,0.0006
1430,Principal 0083,Operation 0011,Resource 3089,N,0.0009
1431,Principal 0081,Operation 0001,Resource 4132,Y,0.0022
1432,Principal 0061,Operation 0002,Resource 13899,N,0.0003
1433,Principal 0009,Operation 0009,Resource 0670,Y,0.0016
1434,Principal 0107,Operation 0002,Resource 12411,N,0.0006
1435,Principal 0011,Operation 0014,Resource 6127,N,0.0009
1436,Principal 0099,Operation 0014,Resource 1912,N,0.0012
1437,Principal 0060,Operation 0007,Resource 7641,Y,0.0022
1438,Principal 0139,Operation 0005,Resource 3200,N,0.0025
1439,Principal 0063,Operation 0001,Resource 14617,N,0.0006
1440,Principal 0079,Operation 0004,Resource 3462,Y,0.0028
1441,Principal 0015,Operation 0009,Resource 0356,Y,0.0016
1442,Principal 0140,Operation 0004,Resource 5213,N,0.0028
1443,Principal 0059,Operation 0008,Resource 1703,Y,0.0028
1444,Principal 0147,Operation 0013,Resource 10292,N,0.0003
1445,Principal 0122,Operation 0004,Resource 6288,N,0.0025
1446,Principal 0055,Operation 0010,Resource 8287,N,0.0009
1447,Principal 0080,Operation 0013,Resource 11855,N,0.0006
1448,Principal 0106,Operation 0003,Resource 3769,N,0.0032
1449,Principal 0104,Operation 0009,Resource 11311,N,0.0006
1450,Principal 0010,Operation 0014,Resource 0262,N,0.0012
1451,Principal 0142,Operation 0008,Resource 5566,N,0.0032
1452,Principal 0122,Operation 0009,Resource 7721,N,0.0038
1453,Principal 0120,Operation 0002,Resource 11137,N,0.0006
1454,Principal 0010,Operation 0004,Resource 6383,Y,0.0022
1455,Principal 0003,Operation 0006,Resource 9195,Y,0.0016
1456,Principal 0123,Operation 0002,Resource 0444,N,0.0022
1457,Principal 0119,Operation 0001,Resource 5493,N,0.0032
1458,Principal 0063,Operation 0014,Resource 4816,N,0.0012
1459,Principal 0066,Operation 0006,Resource 6822,Y,0.0019
1460,Principal 0116,Operation 0004,Resource 9099,N,0.0022
1461,Principal 0089,Operation 0005,Resource 7888,Y,0.0016
1462,Principal 0015,Operation 0001,Resource 5128,Y,0.0019
1463,Principal 0047,Operation 0001,Resource 9819,Y,0.0022
1464,Principal 0135,Operation 0008,Resource 8387,N,0.0025
1465,Principal 0121,Operation 0007,Resource 9691,N,0.0025
1466,Principal 0055,Operation 0010,Resource 10906,N,0.0003
1467,Principal 0096,Operation 0013,Resource 7490,N,0.0009
1468,Principal 0108,Operation 0004,Resource 14021,N,0.0003
1469,Principal 0098,Operation 0008,Resource 8177,Y,0.0025
1470,Principal 0008,Operation 0006,Resource 3277,Y,0.0016
1471,Principal 0009,Operation 0001,Resource 13395,N,0.0003
1472,Principal 0021,Operation 0007,Resource 14164,N,0.0003
1473,Principal 0135,Operation 0013,Resource 5909,N,0.0009
1474,Principal 0041,Operation 0008,Resource 1624,Y,0.0025
1475,Principal 0056,Operation 0013,Resource 7335,N,0.0009
1476,Principal 0121,Operation 0009,Resource 7773,N,0.0025
1477,Principal 0101,Operation 0002,Resource 10556,N,0.0003
1478,Principal 0109,Operation 0002,Resource 5528,N,0.0028
1479,Principal 0016,Operation 0013,Resource 0886,N,0.0006
1480,Principal 0089,Operation 0007,Resource 7474,Y,0.0028
1481,Principal 0119,Operation 0004,Resource 9445,N,0.0028
1482,Principal 0065,Operation 0012,Resource 7963,N,0.0009
1483,Principal 0100,Operation 0010,Resource 0071,N,0.0012
1484,Principal 0105,Operation 0007,Resource 11593,N,0.0006
1485,Principal 0050,Operation 0006,Resource 5475,Y,0.0019
1486,Principal 0059,Operation 0005,Resource 5678,Y,0.0022
1487,Principal 0067,Operation 0012,Resource 13768,N,0.0006
1488,Principal 0005,Operation 0006,Resource 4467,Y,0.0019
1489,Principal 0077,Operation 0005,Resource 13456,N,0.0006
1490,Principal 0079,Operation 0001,Resource 8977,Y,0.0022
1491,Principal 0132,Operation 0005,Resource 7096,N,0.0028
1492,Principal 0134,Operation 0007,Resource 3647,N,0.0025
1493,Principal 0072,Operation 0014,Resource 0677,N,0.0009
1494,Principal 0143,Operation 0002,Resource 14070,N,0.0003
1495,Principal 0077,Operation 0014,Resource 9158,N,0.0009
1496,Principal 0139,Operation 0006,Resource 11506,N,0.0003
1497,Principal 0001,Operation 0011,Resource 7793,N,0.0009
1498,Principal 0102,Operation 0003,Resource 9009,N,0.0032
1499,Principal 0087,Operation 0011,Resource 13352,N,0.0006
1500,Principal 0050,Operation 0013,Resource 7684,N,0.0012
1501,Principal 0095,Operation 0002,Resource 9683,Y,0.0028
1502,Principal 0061,Operation 0012,Resource 2350,N,0.0012
1503,Principal 0045,Operation 0007,Resource 13390,N,0.0006
1504,Principal 0019,Operation 0013,Resource 6160,N,0.0012
1505,Principal 0050,Operation 0007,Resource 10549,N,0.0006
1506,Principal 0147,Operation 0008,Resource 6026,N,0.0028
1507,Principal 0103,Operation 0009,Resource 14066,N,0.0003
1508,Principal 0020,Operation 0008,Resource 4684,Y,0.0016
1509,Principal 0012,Operation 0003,Resource 2447,Y,0.0016
1510,Principal 0130,Operation 0005,Resource 10571,N,0.0006
1511,Principal 0053,Operation 0003,Resource 0261,Y,0.0025
1512,Principal 0080,Operation 0005,Resource 14990,N,0.0006
1513,Principal 0044,Operation 0002,Resource 2351,Y,0.0025
1514,Principal 0068,Operation 0009,Resource 14354,N,0.0006
1515,Principal 0131,Operation 0013,Resource 12057,N,0.0003
1516,Principal 0017,Operation 0005,Resource 9868,Y,0.0019
1517,Principal 0134,Operation 0009,Resource 3843,N,0.0028
1518,Principal 0073,Operation 0010,Resource 5064,N,0.0009
1519,Principal 0086,Operation 0008,Resource 9308,Y,0.0025
1520,Principal 0050,Operation 0005,Resource 9176,Y,0.0022
1521,Principal 0149,Operation 0006,Resource 1835,N,0.0038
1522,Principal 0029,Operation 0011,Resource 11486,N,0.0006
1523,Principal 0059,Operation 0012,Resource 2447,N,0.0006
1524,Principal 0105,Operation 0010,Resource 6095,N,0.0009
1525,Principal 0037,Operation 0004,Resource 14292,N,0.0006
1526,Principal 0147,Operation 0004,Resource 9591,N,0.0028
1527,Principal 0076,Operation 0014,Resource 12866,N,0.0006
1528,Principal 0076,Operation 0014,Resource 10721,N,0.0003
1529,Principal 0067,Operation 0013,Resource 7531,N,0.0012
1530,Principal 0102,Operation 0014,Resource 12311,N,0.0006
1531,Principal 0057,Operation 0014,Resource 11698,N,0.0003
1532,Principal 0082,Operation 0007,Resource 3055,Y,0.0025
1533,Principal 0125,Operation 0010,Resource 1692,N,0.0012
1534,Principal 0006,Operation 0011,Resource 8196,N,0.0009
1535,Principal 0074,Operation 0003,Resource 13696,N,0.0006
1536,Principal 0127,Operation 0004,Resource 6168,N,0.0028
1537,Principal 0058,Operation 0009,Resource 3720,Y,0.0022
1538,Principal 0147,Operation 0012,Resource 5358,N,0.0012
1539,Principal 0113,Operation 0007,Resource 6785,N,0.0028
1540,Principal 0061,Operation 0011,Resource 13565,N,0.0006
1541,Principal 0040,Operation 0010,Resource 12633,N,0.0006
1542,Principal 0052,Operation 0005,Resource 10925,N,0.0006
1543,Principal 0094,Operation 0010,Resource 11595,N,0.0006
1544,Principal 0112,Operation 0003,Resource 8538,N,0.0025
1545,Principal 0079,Operation 0007,Resource 3819,Y,0.0025
1546,Principal 0047,Operation 0001,Resource 11723,N,0.0003
1547,Principal 0120,Operation 0009,Resource 9316,N,0.0022
1548,Principal 0014,Operation 0005,Resource 5472,Y,0.0019
1549,Principal 0086,Operation 0006,Resource 2013,Y,0.0028
1550,Principal 0063,Operation 0012,Resource 14580,N,0.0006
1551,Principal 0112,Operation 0006,Resource 14207,N,0.0006
1552,Principal 0032,Operation 0011,Resource 0029,N,0.0016
1553,Principal 0105,Operation 0003,Resource 13026,N,0.0003
1554,Principal 0028,Operation 0004,Resource 8152,Y,0.0022
1555,Principal 0096,Operation 0009,Resource 6711,Y,0.0022
1556,Principal 0102,Operation 0007,Resource 5319,N,0.0028
1557,Principal 0016,Operation 0007,Resource 7167,Y,0.0019
1558,Principal 0100,Operation 0009,Resource 2108,N,0.0028
1559,Principal 0043,Operation 0003,Resource 6280,Y,0.0022
1560,Principal 0072,Operation 0011,Resource 13911,N,0.0006
1561,Principal 0089,Operation 0003,Resource 13636,N,0.0003
1562,Principal 0120,Operation 0014,Resource 10787,N,0.0003
1563,Principal 0093,Operation 0005,Resource 10439,N,0.0003
1564,Principal 0038,Operation 0009,Resource 12873,N,0.0006
1565,Principal 0137,Operation 0009,Resource 5633,N,0.0028
1566,Principal 0012,Operation 0007,Resource 9890,Y,0.0019
1567,Principal 0137,Operation 0013,Resource 14147,N,0.0006
1568,Principal 0117,Operation 0005,Resource 5224,N,0.0028
1569,Principal 0074,Operation 0002,Resource 12317,N,0.0003
1570,Principal 0121,Operation 0013,Resource 9024,N,0.0009
1571,Principal 0087,Operation 0004,Resource 5740,Y,0.0028
1572,Principal 0141,Operation 0009,Resource 0292,N,0.0028
1573,Principal 0095,Operation 0012,Resource 9564,N,0.0009
1574,Principal 0109,Operation 0001,Resource 2044,N,0.0028
1575,Principal 0099,Operation 0012,Resource 12532,N,0.0006
1576,Principal 0093,Operation 0011,Resource 14834,N,0.0006
1577,Principal 0114,Operation 0003,Resource 10801,N,0.0006
1578,Principal 0114,Operation 0008,Resource 13135,N,0.0006
1579,Principal 0147,Operation 0012,Resource 13257,N,0.0006
1580,Principal 0084,Operation 0005,Resource 13762,N,0.0003
1581,Principal 0134,Operation 0012,Resource 5896,N,0.0009
1582,Principal 0015,Operation 0010,Resource 5708,N,0.0022
1583,Principal 0071,Operation 0014,Resource 0397,N,0.0012
1584,Principal 0054,Operation 0007,Resource 9233,Y,0.0022
1585,Principal 0004,Operation 0003,Resource 12559,N,0.0003
1586,Principal 0121,Operation 0002,Resource 7051,N,0.0028
1587,Principal 0077,Operation 0013,Resource 4841,N,0.0009
1588,Principal 0125,Operation 0001,Resource 10793,N,0.0003
1589,Principal 0132,Operation 0012,Resource 10000,N,0.0006
1590,Principal 0076,Operation 0014,Resource 11637,N,0.0006
1591,Principal 0021,Operation 0002,Resource 7956,Y,0.0019
1592,Principal 0108,Operation 0012,Resource 3618,N,0.0009
1593,Principal 0111,Operation 0008,Resource 2707,N,0.0025
1594,Principal 0068,Operation 0003,Resource 11784,N,0.0006
1595,Principal 0144,Operation 0006,Resource 11434,N,0.0003
1596,Principal 0016,Operation 0011,Resource 5563,N,0.0009
1597,Principal 0006,Operation 0003,Resource 10407,N,0.0003
1598,Principal 0062,Operation 0001,Resource 6482,Y,0.0025
1599,Principal 0089,Operation 0001,Resource 11608,N,0.0003
1600,Principal 0101,Operation 0003,Resource 12683,N,0.0003
1601,Principal 0107,Operation 0014,Resource 0230,N,0.0009
1602,Principal 0038,Operation 0004,Resource 5546,Y,0.0016
1603,Principal 0013,Operation 0005,Resource 5384,Y,0.0016
1604,Principal 0089,Operation 0001,Resource 8348,Y,0.0025
1605,Principal 0044,Operation 0001,Resource 10958,N,0.0006
1606,Principal 0081,Operation 0013,Resource 9489,N,0.0009
1607,Principal 0143,Operation 0011,Resource 1295,N,0.0009
1608,Principal 0045,Operation 0007,Resource 11691,N,0.0003
1609,Principal 0013,Operation 0011,Resource 0384,N,0.0012
1610,Principal 0015,Operation 0002,Resource 11468,N,0.0006
1611,Principal 0070,Operation 0001,Resource 5273,Y,0.0025
1612,Principal 0050,Operation 0011,Resource 2632,N,0.0012
1613,Principal 0115,Operation 0010,Resource 2829,N,0.0012
1614,Principal 0059,Operation 0001,Resource 6540,Y,0.0028
1615,Principal 0002,Operation 0007,Resource 1704,Y,0.0019
1616,Principal 0021,Operation 0002,Resource 14852,N,0.0006
1617,Principal 0105,Operation 0001,Resource 2940,N,0.0032
1618,Principal 0022,Operation 0011,Resource 6536,N,0.0009
1619,Principal 0114,Operation 0006,Resource 7502,N,0.0025
1620,Principal 0036,Operation 0003,Resource 7478,Y,0.0019
1621,Principal 0052,Operation 0014,Resource 2644,N,0.0009
1622,Principal 0089,Operation 0002,Resource 14911,N,0.0006
1623,Principal 0031,Operation 0014,Resource 4751,N,0.0012
1624,Principal 0083,Operation 0011,Resource 2369,N,0.0019
1625,Principal 0067,Operation 0008,Resource 11366,N,0.0006
1626,Principal 0097,Operation 0004,Resource 0391,Y,0.0025
1627,Principal 0100,Operation 0014,Resource 8966,N,0.0009
1628,Principal 0006,Operation 0006,Resource 1016,Y,0.0016
1629,Principal 0085,Operation 0005,Resource 5301,Y,0.0028
1630,Principal 0137,Operation 0009,Resource 4846,N,0.0028
1631,Principal 0101,Operation 0008,Resource 8149,N,0.0022
1632,Principal 0103,Operation 0001,Resource 0487,N,0.0025
1633,Principal 0039,Operation 0006,Resource 4705,Y,0.0035
1634,Principal 0018,Operation 0014,Resource 2540,N,0.0012
1635,Principal 0101,Operation 0003,Resource 4363,N,0.0025
1636,Principal 0006,Operation 0010,Resource 2273,N,0.0009
1637,Principal 0102,Operation 0002,Resource 2014,N,0.0025
1638,Principal 0071,Operation 0008,Resource 3358,Y,0.0025
1639,Principal 0135,Operation 0005,Resource 8852,N,0.0025
1640,Principal 0017,Operation 0001,Resource 12041,N,0.0006
1641,Principal 0096,Operation 0005,Resource 5688,Y,0.0028
1642,Principal 0149,Operation 0013,Resource 3486,N,0.0016
1643,Principal 0092,Operation 0011,Resource 7745,N,0.0009
1644,Principal 0109,Operation 0006,Resource 12993,N,0.0006
1645,Principal 0107,Operation 0008,Resource 0187,N,0.0025
1646,Principal 0064,Operation 0006,Resource 3755,Y,0.0025
1647,Principal 0116,Operation 0008,Resource 9431,N,0.0028
1648,Principal 0031,Operation 0004,Resource 7000,Y,0.0016
1649,Principal 0029,Operation 0003,Resource 14464,N,0.0003
1650,Principal 0048,Operation 0012,Resource 11094,N,0.0003
1651,Principal 0066,Operation 0003,Resource 5877,Y,0.0022
1652,Principal 0077,Operation 0007,Resource 9648,Y,0.0025
1653,Principal 0118,Operation 0010,Resource 3999,N,0.0012
1654,Principal 0009,Operation 0006,Resource 14148,N,0.0006
1655,Principal 0095,Operation 0014,Resource 10775,N,0.0003
1656,Principal 0040,Operation 0011,Resource 0357,N,0.0016
1657,Principal 0032,Operation 0007,Resource 14201,N,0.0006
1658,Principal 0051,Operation 0005,Resource 7429,Y,0.0025
1659,Principal 0026,Operation 0007,Resource 0770,Y,0.0016
1660,Principal 0136,Operation 0012,Resource 10180,N,0.0003
1661,Principal 0040,Operation 0005,Resource 14472,N,0.0006
1662,Principal 0116,Operation 0004,Resource 3592,N,0.0028
1663,Principal 0071,Operation 0003,Resource 1013,Y,0.0025
1664,Principal 0056,Operation 0009,Resource 10234,N,0.0003
1665,Principal 0147,Operation 0011,Resource 1607,N,0.0009
1666,Principal 0103,Operation 0008,Resource 4277,N,0.0032
1667,Principal 0112,Operation 0013,Resource 6592,N,0.0012
1668,Principal 0141,Operation 0002,Resource 4753,N,0.0025
1669,Principal 0119,Operation 0002,Resource 12290,N,0.0006
1670,Principal 0134,Operation 0005,Resource 0601,N,0.0028
1671,Principal 0089,Operation 0013,Resource 13122,N,0.0006
1672,Principal 0088,Operation 0012,Resource 1924,N,0.0009
1673,Principal 0146,Operation 0013,Resource 10046,N,0.0003
1674,Principal 0072,Operation 0012,Resource 8403,N,0.0012
1675,Principal 0143,Operation 0012,Resource 12511,N,0.0006
1676,Principal 0040,Operation 0005,Resource 9201,Y,0.0019
1677,Principal 0058,Operation 0007,Resource 13080,N,0.0006
1678,Principal 0115,Operation 0003,Resource 13261,N,0.0006
1679,Principal 0036,Operation 0005,Resource 2808,Y,0.0019
1680,Principal 0097,Operation 0014,Resource 2708,N,0.0009
1681,Principal 0063,Operation 0009,Resource 12968,N,0.0003
1682,Principal 0005,Operation 0011,Resource 11408,N,0.0003
1683,Principal 0121,Operation 0006,Resource 13919,N,0.0006
1684,Principal 0146,Operation 0010,Resource 10625,N,0.0003
1685,Principal 0092,Operation 0004,Resource 1908,Y,0.0028
1686,Principal 0132,Operation 0014,Resource 3988,N,0.0009
1687,Principal 0072,Operation 0008,Resource 11195,N,0.0003
1688,Principal 0031,Operation 0008,Resource 12726,N,0.0006
1689,Principal 0026,Operation 0012,Resource 10704,N,0.0012
1690,Principal 0148,Operation 0005,Resource 6943,N,0.0025
1691,Principal 0141,Operation 0005,Resource 13118,N,0.0006
1692,Principal 0073,Operation 0001,Resource 3236,Y,0.0028
1693,Principal 0104,Operation 0014,Resource 0973,N,0.0012
1694,Principal 0011,Operation 0007,Resource 14403,N,0.0006
1695,Principal 0103,Operation 0006,Resource 11721,N,0.0006
1696,Principal 0025,Operation 0003,Resource 13419,N,0.0006
1697,Principal 0113,Operation 0006,Resource 5148,N,0.0025
1698,Principal 0138,Operation 0003,Resource 6833,N,0.0025
1699,Principal 0065,Operation 0003,Resource 1044,Y,0.0022
1700,Principal 0003,Operation 0013,Resource 14274,N,0.0006
1701,Principal 0008,Operation 0012,Resource 0709,N,0.0012
1702,Principal 0070,Operation 0001,Resource 5650,Y,0.0025
1703,Principal 0125,Operation 0002,Resource 3161,N,0.0032
1704,Principal 0136,Operation 0003,Resource 0833,N,0.0028
1705,Principal 0030,Operation 0006,Resource 1069,Y,0.0019
1706,Principal 0118,Operation 0008,Resource 1485,N,0.0028
1707,Principal 0010,Operation 0001,Resource 10122,N,0.0003
1708,Principal 0123,Operation 0004,Resource 14829,N,0.0006
1709,Principal 0018,Operation 0001,Resource 2479,Y,0.0022
1710,Principal 0063,Operation 0001,Resource 12669,N,0.0006
1711,Principal 0022,Operation 0010,Resource 1041,N,0.0012
1712,Principal 0017,Operation 0001,Resource 9606,Y,0.0019
1713,Principal 0137,Operation 0004,Resource 5573,N,0.0028
1714,Principal 0061,Operation 0005,Resource 0372,Y,0.0025
1715,Principal 0102,Operation 0012,Resource 2646,N,0.0009
1716,Principal 0043,Operation 0011,Resource 11338,N,0.0006
1717,Principal 0058,Operation 0010,Resource 10405,N,0.0003
1718,Principal 0145,Operation 0014,Resource 12825,N,0.0003
1719,Principal 0042,Operation 0004,Resource 8744,Y,0.0019
1720,Principal 0009,Operation 0005,Resource 0273,Y,0.0019
1721,Principal 0032,Operation 0006,Resource 1066,Y,0.0019
1722,Principal 0055,Operation 0011,Resource 7561,N,0.0012
1723,Principal 0147,Operation 0002,Resource 5742,N,0.0028
1724,Principal 0065,Operation 0013,Resource 4503,N,0.0012
1725,Principal 0109,Operation 0010,Resource 10117,N,0.0003
1726,Principal 0097,Operation 0002,Resource 5824,Y,0.0041
1727,Principal 0122,Operation 0012,Resource 4491,N,0.0009
1728,Principal 0061,Operation 0001,Resource 6105,Y,0.0022
1729,Principal 0023,Operation 0003,Resource 10955,N,0.0003
1730,Principal 0032,Operation 0012,Resource 11977,N,0.0003
1731,Principal 0009,Operation 0012,Resource 13121,N,0.0003
1732,Principal 0053,Operation 0003,Resource 13727,N,0.0003
1733,Principal 0143,Operation 0005,Resource 1203,N,0.0038
1734,Principal 0101,Operation 0005,Resource 9486,N,0.0025
1735,Principal 0056,Operation 0014,Resource 11625,N,0.0003
1736,Principal 0059,Operation 0004,Resource 4304,Y,0.0025
1737,Principal 0027,Operation 0009,Resource 1394,Y,0.0022
1738,Principal 0030,Operation 0004,Resource 7704,Y,0.0022
1739,Principal 0108,Operation 0012,Resource 5701,N,0.0012
1740,Principal 0099,Operation 0004,Resource 8848,Y,0.0025
1741,Principal 0116,Operation 0011,Resource 3773,N,0.0016
